"common.name","native.US","status.SEAZ","diet","group"
"Abert's Towhee","Native","Year-Round",NA,"SparrowEtAl"
"Acorn Woodpecker","Native","Year-Round",NA,"Woodpecker"
"American Avocet","Native","Year-Round",NA,"Shorebird"
"American Bittern","Native","Migrant",NA,"WadingBird"
"American Coot","Native","Year-Round","Aquatic","Gruiform"
"American Goldfinch","Native","Migrant",NA,"Finch"
"American Kestrel","Native","Year-Round",NA,"Raptor"
"American Pipit","Native","Winter",NA,"Pipit"
"American Robin","Native","Winter",NA,"Thrush"
"American Wigeon","Native","Winter","Aquatic","DuckEtAl"
"Anna's Hummingbird","Native","Year-Round",NA,"Hummingbird"
"Ash-throated Flycatcher","Native","Breeding","Foliage arthropods","Flycatcher"
"Baird's Sandpiper","Native","Migrant",NA,"Shorebird"
"Bank Swallow","Native","Migrant",NA,"Swallow"
"Barn Owl","Native","Year-Round","Vertebrates","Owl"
"Barn Swallow","Native","Breeding","Aerial arthropods","Swallow"
"Bell's Sparrow","Native","Winter",NA,"Swallow"
"Bell's Vireo","Native","Breeding","Foliage arthropods","ShrikeVireo"
"Belted Kingfisher","Native","Winter","Aquatic","Kingfisher"
"Bendire's Thrasher","Native","Year-Round","Ground arthropods","Mimid"
"Bewick's Wren","Native","Year-Round","Ground arthropods","Wren"
"Black-chinned Hummingbird","Native","Breeding","Nectar","Hummingbird"
"Black-chinned Sparrow","Native","Winter",NA,"SparrowEtAl"
"Black-crowned Night-Heron","Native","Year-Round","Aquatic","WadingBird"
"Black-headed Grosbeak","Native","Migrant","Foliage arthropods","TanagerCardinalEtAl"
"Black-necked Stilt","Native","Year-Round","Aquatic","Shorebird"
"Black-tailed Gnatcatcher","Native","Year-Round","Foliage arthropods","Gnatcatcher"
"Black-throated Gray Warbler","Native","Winter","Foliage arthropods","Warbler"
"Black-throated Sparrow","Native","Year-Round","Ground arthropods","SparrowEtAl"
"Black Phoebe","Native","Year-Round","Aerial arthropods","Flycatcher"
"Black Vulture","Native","Year-Round","Vertebrates","Raptor"
"Blue-gray Gnatcatcher","Native","Winter","Foliage arthropods","Gnatcatcher"
"Blue-winged Teal","Native","Winter",NA,"DuckEtAl"
