"routeID","firstyr","lastyr","n.sites","n.sites.ret","n.sites.current","n.years","r.urban","r.parks"
91,2001,2019,9,0,9,2,0,1
92,2001,2001,4,0,4,1,0,1
93,2001,2010,13,1,12,10,0,1
94,2014,2017,1,1,0,3,0,1
96,2004,2017,13,3,10,8,0,1
101,2001,2014,12,0,12,12,1,0
102,2001,2019,11,0,11,14,1,0
103,2001,2020,12,0,12,17,1,0
104,2002,2016,11,0,11,14,1,0
105,2001,2021,13,0,13,15,1,0
106,2001,2021,12,0,12,17,1,0
107,2001,2020,12,0,12,15,1,0
108,2001,2021,12,0,12,15,1,0
109,2002,2011,12,0,12,10,1,0
110,2001,2021,13,1,12,16,1,0
111,2001,2015,12,0,12,13,1,0
112,2001,2020,12,0,12,16,1,0
113,2001,2018,12,2,10,12,1,0
114,2001,2020,12,0,12,15,1,0
115,2001,2016,12,0,12,15,1,0
116,2001,2021,14,2,12,19,1,0
117,2001,2017,12,0,12,12,1,0
118,2001,2020,12,2,10,13,1,0
119,2001,2014,12,0,12,14,1,0
120,2001,2014,10,0,10,12,1,0
121,2001,2020,7,0,7,12,1,0
122,2001,2021,17,7,10,19,1,0
123,2002,2017,8,0,8,13,1,0
124,2001,2019,10,0,10,10,1,0
125,2001,2021,19,8,11,19,1,0
126,2001,2015,14,6,8,13,1,0
127,2001,2021,6,1,5,18,1,0
128,2001,2016,10,0,10,15,1,0
129,2001,2017,12,0,12,13,1,0
130,2001,2016,13,2,11,14,1,0
131,2001,2021,13,0,13,15,1,0
132,2001,2021,12,0,12,17,1,0
133,2001,2015,13,1,12,8,1,0
134,2001,2021,12,0,12,14,1,0
135,2001,2017,11,3,8,13,1,0
136,2001,2013,12,1,11,12,1,0
137,2006,2019,12,0,12,13,1,0
138,2007,2021,12,0,12,11,1,0
139,2001,2016,12,0,12,15,1,0
140,2008,2017,12,0,12,7,1,0
141,2004,2016,12,0,12,8,1,0
142,2001,2021,12,0,12,7,1,0
143,2006,2021,12,0,12,10,1,0
144,2006,2021,12,0,12,10,1,0
145,2006,2021,12,0,12,3,1,0
146,2001,2021,12,0,12,20,1,0
147,2001,2018,13,2,11,17,1,0
148,2001,2017,12,3,9,15,1,0
149,2001,2018,17,5,12,13,1,0
150,2001,2020,12,0,12,10,1,0
151,2001,2021,13,1,12,17,1,0
152,2001,2018,10,0,10,15,1,0
153,2001,2021,13,1,12,15,1,0
154,2001,2019,12,0,12,12,1,0
155,2002,2015,12,0,12,10,1,0
156,2001,2019,12,0,12,14,1,0
157,2001,2020,13,1,12,14,1,0
158,2001,2020,14,2,12,12,1,0
159,2001,2021,11,0,11,15,1,0
160,2001,2021,16,5,11,17,1,0
161,2001,2021,11,1,10,19,1,0
162,2001,2020,11,1,10,16,1,0
163,2001,2020,12,0,12,10,1,0
164,2001,2018,11,0,11,18,1,0
165,2001,2021,13,0,13,18,1,0
166,2001,2021,12,1,11,17,1,0
167,2003,2021,13,2,11,16,1,0
168,2008,2021,10,0,10,13,1,0
169,2013,2021,11,0,11,8,1,0
170,2001,2018,12,0,12,14,1,0
171,2001,2017,12,0,12,16,1,0
172,2002,2020,7,0,7,12,1,0
173,2002,2021,12,1,11,12,1,0
174,2002,2020,14,2,12,11,1,0
175,2003,2011,12,0,12,7,1,0
176,2003,2012,13,1,12,5,1,0
177,2002,2021,16,4,12,18,1,0
178,2002,2019,12,0,12,12,1,0
179,2002,2015,13,1,12,7,1,0
180,2002,2021,14,2,12,17,1,0
181,2004,2018,13,2,11,13,1,0
182,2004,2021,11,0,11,15,1,0
