"siteID","routeID","firstyr","lastyr","n.years","n.visits","easting","northing","retired","transect"
"91_01",91,2001,2019,2,2,483387,3571991,0,0
"91_02",91,2001,2001,1,1,483617,3572710,0,0
"91_03",91,2001,2001,1,1,484370,3568710,0,0
"91_04",91,2001,2001,1,1,480553,3571561,0,0
"91_05",91,2001,2001,1,1,481264,3571329,0,0
"91_06",91,2001,2001,1,1,485612,3579287,0,0
"91_07",91,2001,2001,1,1,484872,3579209,0,0
"91_08",91,2001,2001,1,1,478264,3570189,0,0
"91_09",91,2001,2001,1,1,477874,3570826,0,0
"92_01",92,2001,2001,1,1,526004,3558474,0,0
"92_02",92,2001,2001,1,1,527717,3562406,0,0
"92_03",92,2001,2001,1,1,527420,3561730,0,0
"92_04",92,2001,2001,1,1,528895,3563098,0,0
"93_01",93,2004,2010,7,7,518296,3554467,0,0
"93_02",93,2001,2010,10,10,516411,3555799,0,0
"93_03",93,2001,2010,10,10,517106,3555700,0,0
"93_13",93,2001,2010,9,9,513192,3557833,0,0
"93_14",93,2001,2010,10,10,513865,3557379,0,0
"93_17",93,2004,2010,7,7,517126,3556852,0,0
"93_22",93,2001,2009,9,9,512060,3558884,0,0
"93_28",93,2001,2010,10,10,512054,3559506,0,0
"93_34",93,2004,2009,6,6,512273,3560203,0,0
"93_35",93,2004,2010,6,6,513201,3560829,0,0
"93_39",93,2001,2010,10,10,510887,3561619,0,0
"93_40a",93,2001,2005,5,5,511402,3561574,1,0
"93_43",93,2001,2010,10,10,510986,3562137,0,0
"94_05a",94,2014,2017,3,3,517052,3575258,1,0
"96_01",96,2008,2017,5,5,505156,3587582,0,0
"96_01a",96,2004,2007,3,4,505038,3587701,1,0
"96_02",96,2004,2017,8,9,503847,3588476,0,0
"96_03",96,2004,2011,7,8,504444,3588754,0,0
"96_04",96,2004,2011,7,8,505235,3588910,0,0
"96_05",96,2004,2017,8,9,503690,3589622,0,0
"96_06",96,2004,2011,7,8,504418,3589524,0,0
"96_07",96,2004,2017,8,9,505540,3589430,0,0
"96_08",96,2004,2017,8,8,503157,3590866,0,0
"96_09",96,2017,2017,1,1,504069,3591164,0,0
"96_09a",96,2004,2004,1,1,504064,3590262,1,0
"96_09b",96,2005,2011,6,6,504086,3590243,1,0
"96_10",96,2004,2017,8,8,504441,3591408,0,0
"101_01",101,2001,2014,11,12,507455,3562118,0,0
"101_02",101,2001,2014,11,12,507765,3563197,0,0
"101_03",101,2001,2014,11,12,508686,3563197,0,0
"101_04",101,2001,2014,12,12,508465,3564469,0,0
"101_05",101,2001,2014,12,12,509149,3564153,0,0
"101_06",101,2001,2014,12,12,509733,3565237,0,0
"101_07",101,2001,2014,12,12,509102,3566562,0,0
"101_08",101,2001,2014,12,12,510744,3566147,0,0
"101_09",101,2001,2014,12,12,510123,3567779,0,0
"101_10",101,2001,2014,12,12,511119,3567754,0,0
"101_11",101,2001,2014,12,12,511325,3568072,0,0
"101_12",101,2001,2014,11,12,511686,3569191,0,0
"102_01",102,2001,2019,14,16,508468,3566481,0,0
"102_02",102,2001,2019,14,16,508204,3567234,0,0
"102_03",102,2001,2019,14,16,509715,3567276,0,0
"102_04",102,2001,2019,14,16,509505,3568568,0,0
"102_05",102,2001,2017,12,14,511065,3568389,0,0
"102_06",102,2001,2017,12,14,510663,3569700,0,0
"102_07",102,2001,2019,14,16,510288,3569872,0,0
"102_08",102,2001,2019,14,16,510511,3571188,0,0
"102_09",102,2001,2017,13,15,510705,3572574,0,0
"102_10",102,2001,2017,13,15,511557,3572802,0,0
"102_11",102,2001,2017,12,14,512084,3572892,0,0
"103_01",103,2001,2020,17,19,512199,3570673,0,0
"103_02",103,2001,2020,17,19,512734,3570779,0,0
"103_03",103,2001,2020,17,19,513809,3570239,0,0
"103_04",103,2001,2020,17,19,514608,3570262,0,0
"103_05",103,2001,2020,16,18,515989,3570276,0,0
"103_06",103,2001,2020,17,19,516611,3570213,0,0
"103_07",103,2001,2020,17,19,511226,3571291,0,0
"103_08",103,2001,2020,16,18,517366,3572924,0,0
"103_09",103,2001,2020,16,18,516553,3572993,0,0
"103_10",103,2001,2020,15,17,516963,3573260,0,0
"103_11",103,2001,2020,16,18,516850,3574119,0,0
"103_12",103,2001,2020,16,18,516329,3575610,0,0
"104_01",104,2002,2016,14,14,507650,3563241,0,0
"104_02",104,2002,2016,14,14,507727,3564495,0,0
"104_03",104,2003,2016,13,13,507381,3565621,0,0
"104_04",104,2002,2016,14,14,507967,3565803,0,0
"104_05",104,2002,2016,14,14,507094,3566833,0,0
"104_06",104,2002,2016,14,14,507327,3567382,0,0
"104_07",104,2002,2016,14,14,507082,3568105,0,0
"104_08",104,2002,2016,14,14,508648,3568445,0,0
"104_09",104,2002,2016,14,14,508209,3569807,0,0
"104_10",104,2002,2016,14,14,509244,3570810,0,0
"104_11",104,2002,2016,14,14,509885,3570432,0,0
"105_01",105,2001,2021,14,14,506601,3564099,0,0
"105_02",105,2001,2021,14,14,506628,3565812,0,0
"105_03",105,2001,2021,14,14,506111,3566305,0,0
"105_04",105,2001,2021,13,13,506007,3567292,0,0
"105_05",105,2001,2021,13,13,506176,3568962,0,0
"105_06",105,2001,2021,13,13,506343,3569895,0,0
"105_07",105,2001,2021,13,13,507851,3569441,0,0
"105_08",105,2001,2021,13,13,507833,3570092,0,0
"105_09",105,2001,2021,13,13,508463,3569969,0,0
"105_10",105,2001,2021,13,13,509207,3571877,0,0
"105_11",105,2001,2021,13,13,509430,3571323,0,0
"105_12",105,2001,2021,13,13,509853,3572595,0,0
"105_13",105,2001,2021,13,13,509912,3573294,0,0
"106_01",106,2001,2021,15,17,506704,3562633,0,0
"106_02",106,2001,2021,16,17,505772,3563189,0,0
"106_03",106,2001,2021,17,18,506321,3563574,0,0
"106_04",106,2001,2021,17,18,505164,3564705,0,0
"106_05",106,2001,2020,14,15,505841,3565613,0,0
"106_06",106,2001,2021,16,17,505972,3566295,0,0
"106_07",106,2001,2021,16,17,505692,3567176,0,0
"106_08",106,2001,2021,16,17,505955,3568060,0,0
"106_09",106,2003,2021,14,15,505306,3569493,0,0
"106_10",106,2001,2021,16,17,505607,3570413,0,0
"106_11",106,2001,2021,15,16,506202,3570703,0,0
"106_12",106,2001,2021,16,17,505886,3571625,0,0
"107_01",107,2001,2020,15,15,504878,3565034,0,0
"107_02",107,2001,2017,14,15,504000,3566755,0,0
"107_03",107,2001,2020,15,15,504589,3567918,0,0
"107_04",107,2001,2020,15,15,504428,3568242,0,0
"107_05",107,2001,2020,15,15,504751,3569881,0,0
"107_06",107,2001,2020,15,15,504128,3570690,0,0
"107_07",107,2001,2020,15,15,504821,3571276,0,0
"107_08",107,2001,2017,14,14,506704,3571772,0,0
"107_09",107,2001,2017,12,12,507513,3571895,0,0
"107_10",107,2001,2017,13,13,504132,3572290,0,0
"107_11",107,2001,2017,14,14,505184,3572185,0,0
"107_12",107,2001,2017,14,14,506178,3572739,0,0
"108_01",108,2001,2021,14,15,507093,3572064,0,0
"108_02",108,2001,2021,14,15,508518,3572682,0,0
"108_03",108,2001,2021,14,15,505536,3573412,0,0
"108_04",108,2001,2020,14,15,506155,3573506,0,0
"108_05",108,2001,2021,14,14,507394,3573088,0,0
"108_06",108,2001,2020,14,15,508993,3573907,0,0
"108_07",108,2001,2021,13,14,508505,3574602,0,0
"108_08",108,2001,2021,15,15,508128,3575608,0,0
"108_09",108,2001,2015,13,14,509303,3575421,0,0
"108_10",108,2001,2020,14,15,509449,3576718,0,0
"108_11",108,2001,2020,14,15,509918,3577156,0,0
"108_12",108,2001,2021,14,15,510166,3577478,0,0
"109_01",109,2002,2011,10,10,503695,3571118,0,0
"109_02",109,2002,2011,10,10,503569,3572351,0,0
"109_03",109,2002,2011,10,10,503287,3573637,0,0
"109_04",109,2002,2011,10,10,504688,3573166,0,0
"109_05",109,2002,2011,10,10,504919,3574515,0,0
"109_06",109,2002,2011,10,10,505283,3574016,0,0
"109_07",109,2002,2011,10,10,506099,3574333,0,0
"109_08",109,2002,2011,10,10,507709,3574258,0,0
"109_09",109,2002,2011,10,10,507275,3575780,0,0
"109_10",109,2002,2011,10,10,507220,3576773,0,0
"109_11",109,2002,2011,10,10,508518,3576832,0,0
"109_12",109,2002,2011,10,10,508620,3577564,0,0
"110_01",110,2001,2019,14,14,502823,3572132,0,0
"110_02",110,2001,2021,14,16,502249,3573576,0,0
"110_03",110,2001,2021,14,14,502121,3574454,0,0
"110_04",110,2001,2021,14,14,503627,3574326,0,0
"110_05",110,2016,2021,4,4,503890,3575390,0,0
"110_05a",110,2001,2015,11,11,503555,3575313,1,0
"110_06",110,2001,2021,14,14,504314,3575034,0,0
"110_07",110,2001,2021,14,14,505577,3575721,0,0
"110_08",110,2001,2021,13,13,506785,3575779,0,0
"110_09",110,2001,2021,12,12,506255,3576273,0,0
"110_10",110,2001,2021,14,14,506845,3577431,0,0
"110_11",110,2001,2021,15,15,507447,3577559,0,0
"110_12",110,2005,2021,13,13,506856,3577764,0,0
"111_01",111,2001,2015,12,12,501089,3573523,0,0
"111_02",111,2001,2015,13,13,501630,3574547,0,0
"111_03",111,2001,2015,13,13,501744,3575088,0,0
"111_04",111,2001,2015,13,13,502326,3575727,0,0
"111_05",111,2001,2015,13,13,502963,3576981,0,0
"111_06",111,2001,2015,13,13,503399,3576713,0,0
"111_07",111,2001,2015,13,13,504885,3576981,0,0
"111_08",111,2001,2015,13,13,501592,3577990,0,0
"111_09",111,2001,2015,13,13,502124,3577321,0,0
"111_10",111,2001,2015,13,13,503149,3577498,0,0
"111_11",111,2001,2015,13,13,504489,3577418,0,0
"111_12",111,2001,2015,13,13,501685,3578732,0,0
"112_01",112,2001,2020,16,16,499102,3578747,0,0
"112_02",112,2001,2020,16,16,502027,3578632,0,0
"112_03",112,2001,2020,15,15,503466,3578327,0,0
"112_04",112,2001,2020,16,16,498179,3579118,0,0
"112_05",112,2001,2018,15,15,499680,3579611,0,0
"112_06",112,2001,2020,15,15,502411,3579981,0,0
"112_07",112,2001,2020,16,16,499618,3580845,0,0
"112_08",112,2001,2020,16,16,500175,3580208,0,0
"112_09",112,2001,2020,16,16,501392,3580543,0,0
"112_10",112,2001,2020,16,16,502030,3580007,0,0
"112_11",112,2001,2020,15,15,501297,3581181,0,0
"112_12",112,2001,2020,16,16,502433,3581217,0,0
"113_01",113,2001,2018,12,14,499761,3573453,0,0
"113_02",113,2001,2018,11,12,499646,3574045,0,0
"113_03",113,2004,2018,10,10,499245,3575423,0,0
"113_03a",113,2001,2004,3,3,499911,3575207,1,0
"113_04",113,2001,2018,12,13,500553,3575169,0,0
"113_05",113,2001,2018,12,14,500842,3576973,0,0
"113_06",113,2001,2018,12,14,501948,3576073,0,0
"113_07",113,2001,2018,12,14,500627,3577639,0,0
"113_08",113,2001,2018,12,13,500812,3578715,0,0
"113_09",113,2001,2018,11,13,500651,3579865,0,0
