common.name,native.US,status.SEAZ,diet,group
Abert's Towhee,Native,Year-Round,,SparrowEtAl
Acorn Woodpecker,Native,Year-Round,,Woodpecker
American Avocet,Native,Year-Round,,Shorebird
American Bittern,Native,Migrant,,WadingBird
American Coot,Native,Year-Round,Aquatic,Gruiform
American Goldfinch,Native,Migrant,,Finch
American Kestrel,Native,Year-Round,,Raptor
American Pipit,Native,Winter,,Pipit
American Robin,Native,Winter,,Thrush
American Wigeon,Native,Winter,Aquatic,DuckEtAl
Anna's Hummingbird,Native,Year-Round,,Hummingbird
Ash-throated Flycatcher,Native,Breeding,Foliage arthropods,Flycatcher
Baird's Sandpiper,Native,Migrant,,Shorebird
Bank Swallow,Native,Migrant,,Swallow
Barn Owl,Native,Year-Round,Vertebrates,Owl
Barn Swallow,Native,Breeding,Aerial arthropods,Swallow
Bell's Sparrow,Native,Winter,,Swallow
Bell's Vireo,Native,Breeding,Foliage arthropods,ShrikeVireo
Belted Kingfisher,Native,Winter,Aquatic,Kingfisher
Bendire's Thrasher,Native,Year-Round,Ground arthropods,Mimid
Bewick's Wren,Native,Year-Round,Ground arthropods,Wren
Black Phoebe,Native,Year-Round,Aerial arthropods,Flycatcher
Black Vulture,Native,Year-Round,Vertebrates,Raptor
Black-chinned Hummingbird,Native,Breeding,Nectar,Hummingbird
Black-chinned Sparrow,Native,Winter,,SparrowEtAl
Black-crowned Night-Heron,Native,Year-Round,Aquatic,WadingBird
Black-headed Grosbeak,Native,Migrant,Foliage arthropods,TanagerCardinalEtAl
Black-necked Stilt,Native,Year-Round,Aquatic,Shorebird
Black-tailed Gnatcatcher,Native,Year-Round,Foliage arthropods,Gnatcatcher
Black-throated Gray Warbler,Native,Winter,Foliage arthropods,Warbler
Black-throated Sparrow,Native,Year-Round,Ground arthropods,SparrowEtAl
Blue Grosbeak,Native,Breeding,Ground arthropods,TanagerCardinalEtAl
Blue-gray Gnatcatcher,Native,Winter,Foliage arthropods,Gnatcatcher
Blue-winged Teal,Native,Winter,,DuckEtAl
Brewer's Blackbird,Native,Winter,Ground arthropods,Icterid
Brewer's Sparrow,Native,Winter,Ground arthropods,SparrowEtAl
Bridled Titmouse,Native,Year-Round,,ChickadeeEtAl
Broad-billed Hummingbird,Native,Breeding,Nectar,Hummingbird
Broad-tailed Hummingbird,Native,Breeding,Nectar,Hummingbird
Bronzed Cowbird,Native,Breeding,Ground arthropods,Icterid
Brown Creeper,Native,Year-Round,,NuthatchCreeper
Brown Pelican,Native,Rarity,,PelicanEtAl
Brown-crested Flycatcher,Native,Breeding,Foliage arthropods,Flycatcher
Brown-headed Cowbird,Native,Year-Round,Ground arthropods,Icterid
Bufflehead,Native,Winter,,DuckEtAl
Bullock's Oriole,Native,Breeding,Foliage arthropods,Icterid
Burrowing Owl,Native,Year-Round,Vertebrates,Owl
Bushtit,Native,Year-Round,Foliage arthropods,ChickadeeEtAl
